id,barcode,name,type,capacity,mass_empty_bottle,mass_full_bottle,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Feb02d826-4e36-4746-9e80-e5614634a63e%2Feb02d826-4e36-4746-9e80-e5614634a63e_front_angle_250_w.jpg?alt=media&token=e12d8d61-ea8d-4bb6-84ac-049ca4055c519526349
0,8801051083026,엘라스틴 오가니스트 체리블라썸 수분 영양 샴푸 500mL,0,500,100,600,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F7ce2e416-7980-4ef5-0c96-20037450cac9%2F7ce2e416-7980-4ef5-0c96-20037450cac9_front_angle_250_w.jpg?alt=media&token=f10a2974-3556-4631-9e0b-6f3855f87e60
1,8801051083033,엘라스틴 오가니스트 체리블라썸 수분 영양 컨디셔너 500mL,1,500,100,600,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa72f6c65-8f05-40f0-1397-84b0d1a338e5%2Fa72f6c65-8f05-40f0-1397-84b0d1a338e5_front_angle_250_w.jpg?alt=media&token=e99d7fdd-3130-4e2d-97d9-25205c4654c5
2,8801051122725,오가니스트 히말라야 핑크솔트 바디워시 퓨리파잉 로즈향 900g,2,900,150,1150,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F6ef47589-e960-4fa8-80ee-e50b1933e850%2F6ef47589-e960-4fa8-80ee-e50b1933e850_front_angle_1000_w.jpg?alt=media&token=0dababf1-a70f-44d7-ab83-a409288ff3c5
3,8801051294200,온더바디 플로럴 가든 바디워시 블루밍 블라썸 950g,2,950,100,1050,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb460d851-5fc8-4d5e-adcc-8bfff0f43b9e%2Fb460d851-5fc8-4d5e-adcc-8bfff0f43b9e_front_angle_250_w.jpg?alt=media&token=04261cf8-f0a5-40f7-a419-f97ab63f7217
4,8809803518758,라보에이치 탈모증상완화 샴푸 두피강화 700ml,0,700,100,800,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F4d2d085e-21b4-459d-d6bd-19a74a40730c%2F4d2d085e-21b4-459d-d6bd-19a74a40730c_front_angle_250_w.jpg?alt=media&token=8ef25fd0-4fd2-49ff-968a-8b6cfb1f4b7b
5,8801046312865,케라시스 러블리 앤 로맨틱 오리지널 퍼퓸 샴푸 500ml,0,500,,,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F94a5e4c5-11a0-459e-987f-2e6b7404b74a%2F94a5e4c5-11a0-459e-987f-2e6b7404b74a_front_angle_250_w.jpg?alt=media&token=68ed1098-e1b0-407d-ae3c-fef938faccfb
6,8801046385784,케라시스 두피 쿨링 단백질 샴푸 600ml,0,600,,,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F0e69c37d-f91f-44fc-9309-ffbf082925f7%2F0e69c37d-f91f-44fc-9309-ffbf082925f7_front_angle_250_w.jpg?alt=media&token=fe60cd2a-52cd-42f7-9f13-232ce6dd4a22
7,8809487040064,NARD 부케가르니 나드 샴푸 시그니처 1000ml,0,1000,,,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb76e0afc-f971-4e4d-e76f-b5b9556f9393%2Fb76e0afc-f971-4e4d-e76f-b5b9556f9393_front_angle_250_w.jpg?alt=media&token=ededa91e-9410-4405-9cba-ef08c6b3948e
8,8809616010272,TS 프리미엄TS샴푸 750g,0,750,,,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fcb6fc12d-66ba-4415-e9f8-32c4a177011c%2Fcb6fc12d-66ba-4415-e9f8-32c4a177011c_front_angle_250_w.jpg?alt=media&token=ef274e7e-45b0-45e6-ab52-72a17140273f
9,8801046385746,케라시스 데미지 클리닉 단백질 샴푸 600ml,0,600,,,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Ff8d906d0-3d6b-46d6-b28d-b0e6aa891e9a%2Ff8d906d0-3d6b-46d6-b28d-b0e6aa891e9a_front_angle_250_w.jpg?alt=media&token=fa2dc276-d02b-4e34-bb06-9beabea00048
